fecha_terminacion_proyecto,fecha_de_corte,c_digo_divipola_departamento,departamento,c_digo_divipola_municipio,municipio,indicador,nombre_proyecto,origen,aporte_nacion,contrapartida,estado_seguimiento,num_municipios,región
2018-12-31,2024-04-04,18,caqueta,"18029, 18205, 18610","albania(caq), curillo(caq), san jose de fragua(caq)",nueva población beneficiada acueducto urbano,"construccion sistema de acueducto regional para los municipios de albania, curillo y san jose de fragua.",pda,12110573518,953340488,en liquidación,3,Región Amazonía
2018-10-16,2024-04-04,15,boyaca,15693,santa rosa de viterbo(boy),nueva población beneficiada acueducto urbano,"construccion red de conduccion, redes de distribucion del acueducto y terminacion planta de tratamiento de agua potable de la zona urbana del municipio de santa rosa de viterbo",pda,557345219,2236932650,en liquidación,1,Región Andina
2018-10-08,2024-04-04,17,caldas,17050,aranzazu(cal),nueva población beneficiada alcantarillado urbano,optimizacion sistemas de acueducto y alcantarillado zona urbana municipio de aranzazu,pda,491820256,664819896,terminado,1,Región Andina
2019-06-01,2024-04-04,17,caldas,17446,marulanda(cal),nueva población beneficiada acueducto rural,mejoramiento sistema de acueducto en el corregimiento montebonito municipio de marulanda,pda,286128295,540512429,terminado,1,Región Andina
2019-02-12,2024-04-04,5,antioquia,5250,el bagre(ant),nueva población beneficiada acueducto urbano,construccion del plan maestro de acueducto urbano del municipio de el bagre etapa ii,pda,0,4773790842,liquidado,1,Región Andina
2018-11-22,2024-04-04,5,antioquia,5306,giraldo(ant),nueva población beneficiada acueducto rural,construccion del plan maestro de acueducto corregimiento manglar del municipio de giraldo,pda,0,922015855,liquidado,1,Región Andina
2022-07-28,2024-04-04,73,tolima,73349,honda(tol),nueva población beneficiada alcantarillado urbano,"construcción de alcantarillado en los sectores de chico, refugio, la sonrisa y nueva ambalemita del municipio de honda",pgn,3199570691,0,en liquidación,1,Región Andina
2022-02-14,2024-04-04,73,tolima,73217,coyaima(tol),nueva población beneficiada acueducto rural,"optimización sistema de acueducto del centro poblado de castilla, municipio de coyaima",pgn,2562701063,0,terminado,1,Región Andina
2021-04-19,2024-04-04,20,cesar,20001,valledupar(ces),nueva población beneficiada acueducto urbano,"optimizacion de sistema de acueducto de la ciudad de valledupar, mediante la construccion de tanques de almacenamiento de agua tratada y redes matrices de acueducto",pgn,24677750307,197255642,liquidado,1,Región Caribe
2022-12-23,2024-04-04,41,huila,41551,pitalito(hui),nueva población beneficiada alcantarillado urbano,construcción de colectores del sistema de alcantarillado pluvial en la comuna uno del municipio de pitalito-huila,pgn,2904901507,35668264,terminado,1,Región Andina
